Song,Artist,Scene Description
As Much as I Ever Could,City and Colour,Haley puts a soap in Jaimie's mouth. Quinn tells Clay's that Joe Turner's mom is sick . Grubbs guess Jamie's drink. Skills gets the job in L.A. and asks Lauren to go. Alex wakes up and see Julian.
Mother,Jack Savoretti,Miranda convince Jaime that Spain is great while pulling herself a drink because Grubbs failed to guess. Clay speaks to Joe to find a solution. Millie tells Mouth that she stole the red dress.
3 Rounds and a Sound,Blind Pilot,Julian tells Alex that he's mad at her. Clay tells Quinn that the last thing he talked to Sara about was pens. Dan announces that it's his final show.
The One Step,Jean Grae,Quinn and Clay arrive at cheerleader tryouts.
Mama Said Knock You Out,LL Cool J,"Quinn trying out for bobcat cheerleaders. James, Nathan, Haley and Grubbs tomato fight."
We Don't Eat,James Vincent McMorrow,"Brooke in Alex's hospital room. Dan speaking, turning off the clock."
Until You Won Me Over,Trent Dabbs,"Nathan, Jamie and Haley talking in Tric. Dan speaking on his show. Nathan and Jamie talking in Jamie's Room."
Horizon,Rachael Yamagata,Brooke talking to sleeping Alex in hospital. Brooke and Millie talking. Mouth and Millie in rehab. Brooke and Julian talking in Clothes over Bros.
Waiting,City and Colour,"Nathan is about to sign a new contract, but Clay and Quinn walk in"
Brooklyn (Acoustic Version),Wakey!Wakey!,"Grubbs plays this on piano. Dan says goodbye, Nathan resigns with Bobcats, Quinn and Clay go in the ocean, Haley leaves on tour with Nathan and Jamie, Alex apologizes to Julian, Brooke meets Alexander"
Flying Machine,Everly,Haley sings this at the beginning of the episode
Funhouse,P!nk,Alex goes to a party to get Millie and bring her home so she won't do any more cocaine
Girl In the Moon,Everly,haley's last song of the tour in tree hill.
We Belong,Everly,Haley singing in the concert in Tree Hill.
Out of the Day,Blue Judy,Add scene description
Look Alive,Wait.Think.Fast,Brooke and Alexander run into Julian at the airport while is waiting for Alex's  plane to land.
Something to Hope For,The Undeserving,"Haley brings tickets for her concert in Tree Hill and Brooke tells her about problems with Julian, Quinn & Clay talk about dating, Victoria tells Julian to fight for Brooke and stop hurting her."
The Rain,Vedera,Add scene description
Never Gonna Be,Bethany Joy Galeotti,Last song in the episode
From Where You Are,Lifehouse,End of the episode.
Bad Dream,Zaac Pick,David and Nathan talk after dinner.
Crystalised,The XX,Alex is rehearsing with the director and the James sisters prepare for dinner.
Does Life Begin Again,Ryan Webster,Add scene description
If You're Gone,Pleasure Bridge,Brooke and Julian argue at her office.  Clay agrees to come to dinner.  Nate asks Hayley why she's letting the dinner happen.
Islands,The XX,The family is having dinner.
My Timing Is off,Eels,Add scene description
Off Track,The Features,Add scene description
Personality Overload,The Beat Seekers,"Haley, Quinn and Taylor fight in the pool."
Rewind,Diane Birch,"End of episode. Mouth says he stays with Millie, Brooke agrees to be costume designer for the movie if Julian tells his father that he will direct it. Clay gives his key to Quinn."
The Cure,Tegan and Sara,Start of the episode.
Broke,So & So,"Haley, Quinn, and Taylor are talking after the fight"
Don't You (Forget About Me) [Remastered],Simple Minds,"Beginning, Brooke is in Lucas' bedroom. Quinn at Clay's house."
4 Ferris,Geoff Grace,Kylie arrives for her date with Mouth.  Jamie has fun at home by himself.
Bizarre Love Triangle,Sennen,Nate picks up Clay.  Julian and Brooke kiss.
Cool Fool,Joel Bogen,Alexander talks Brooke into going to the dance with him.
Everybody Knows,Cheap Trick,Haley and Brooke talk by the lockers.  Kylie joins them.  Julian warns Alexander about hurting Brooke.  Kylie apologizes to Quinn.
I Want You to Want Me (Live),Cheap Trick,First song at the 80's Dance.  Brooke introduces Alexander to Haley.
Know That I Would,Right The Stars,Tow truck takes Clay's car. Alex and Julian talk on set.
If You Were Here,Cary Brothers,Brooke works on her dress.  Julian practices his speech.  Julian and Alex talk about John Hughes.  Brooke gets into Alexander's car.
Smile,Cheap Trick,Alex talks to Alexander about Brooke and Julian.  Nate gives Haley her present. Mouth turns Kylie down.  Julian gives his speech to the crew.  Closing scenes.
Surrender,Cheap Trick,Jamie brandishes his light saber at the intruders.  Kylie and Quinn talk at the dance.  Clay and Nathan argue in the woods.  Jullian and Brooke look at each other from across the dancefloor.
The Lovecats,OK Go,"Fergie, Junk, and Mouth create Mouth's dream girl on an online dating site.  Nathan and Clay catch a ride back to Tree Hill. Jamie is home alone."
Lullaby,OneRepublic,Haley tells her mom and Quinn that Taylor left. :(
Brooklyn,Wakey!Wakey!,This song played during the recap of previous events this season.
Brooklyn Blurs,The Paper Raincoat,Julian and Brooke talk about the movie.
Carefree,Samantha Stollenwerck,Taylor tells Quinn that David left her.Millie tries to prove herself at work to Victoria. Jamie and Nathan go to Clay's for breakfast
Lost and Found,Kim Taylor,Julian helps Alex on set. Brooke and Grubbs open up about their relationships.
Glass,Ross Copperman,Quinn talks to her mother about Taylor and David - and her new relationship with Clay.
Where You Are,Low-Fi,Miranda tells Haley that Grubbs thinks of her as his girlfriend. Nathan and Jamie visit the movie set.
On Her Way,Shelly Fraley,Jamie captures some behind-the-scenes footage. Brooke opens up to Nathan.
All the Beautiful Things,Eels,Miranda tries to convince Grubbs to take his personal experiences and record an album.
Far End of the Black (Acoustic Version),J.R. Richards,Lydia tells her daughters that there isn't anything that can help her and that she's accepted the fact that she's going to die.
Hold Onto Hope Love,Amy Stroup,CODA - Ending montage of scenes.
The Dress Looks Nice on You,Sufjan Stevens,Opening scenes - Lydia wants a normal family breakfast where everyone talks.
Zero Tolerance,Bart Hendrickson,Alex wakes Alexander up while rushing around her hotel room to leave for the set.
The Candle Burned Out,Shout Out Louds,Brooke tells Julian to take better care of himself or else he'll be grouchy and whiney.
Leaving for the West,Blue Judy,Miranda wants to negotiate an album with Grubbs.
Same Way Twice,Trent Dabbs,Victoria raves about her new lover to Brooke.
Too Hot To Stop,Marc Ferrari & Steve Plunkett,"Alex's co-star, Josh, arrives to the movie set and he has his eye on Victoria."
Everything Went Down,Kate Tucker,Millie tunes Mouth out by putting her headphones in.
Fragments,Rocky Votolato,Miranda eats a pickled egg for Grubbs
Lucky Clover Coin,Rocky Votolato,"Owen suggests to Millie that they do something ""fun"" together."
I Love You Just Because,Bosshouse,Miranda talks like a pirate with a patch over her eye for Grubbs.
Look Back On,Trent Dabbs,Millie and Owen go bowling - he tells her not to give up on Mouth.
Down and Dirty (as Heard On Las Vegas),Michael Mulholland,Miranda walks up to Grubbs at TRIC - in her underwear - to prove a point.
November,Gemma Hayes,CODA - Ending montage of scenes.
Clap (See the Stars),The Myrmidons,Julian and Paul arrive on set to see the ridiculous jogging outfit Brooke put Josh in.
Middle of June,Noah Gundersen,Mouth and Lauren talk about rebound relationships.
Open Your Eyes,Andrew Belle,Quinn tells Taylor that their mother is dying and that she needs to go see her.
Carrollton,Shane Alexander,Katie does an on-line search for Clay and finds out about his wife. Jamie reads to Lydia.
Last Day,Ari Herstand,Victoria finds Brooke laying on the floor at Clothes Over Bros.
God Knows,Fay Wolf,"Brooke apologizes to Alex ""for everything""."
Towards the Sun,Alexi Murdoch,Jamie gives his grandmother a surprise.; Lydia gets her wish.
Party In the U.S.A.,Miley Cyrus,Add scene description
Landslide,Fleetwood Mac,"Lydia dies.
Julian and Brooke make up on the movie set."
I Shall Believe,Sheryl Crow,Lydia's funeral.
Substitutes,The Windupdeads,Nate reads to Jamie and they talk about her still being sad.  Hayley talks with Brooke about having kids. Julian and his father try to figure out how to deal with the tape. Alexander talks to Victoria
Enough to Let Me Go,Switchfoot,Beginning.  Brooke brings Julian breakfast in bed.  Clay and Quinn at the beach house. Alexander and Victoria.  Lauren and Mouth talk about Skills.
Let You Go,Noush Skaugen,Hayley buys Quinn's photo.  Skills talks to Lauren about wanting things to go back the way it was. Julian's father shows him the sex tape.
Rock and Roll All Nite,Kiss,Nate and Jamie playing Guitar Hero.
Car Crash,Wakey!Wakey!,Grubbs and Miranda in the recording studio.  Quinn and Haley before the gallery opening.  Skills tells Mouth that he misses Lauren and is back to stay. Clay turns on the lights in Quinn's gallery.
Make You Feel My Love,ADELE,"Haley gets home, Nathan says he'd like them to have another kid, she tells him about the pregnancy test. Grubbs asks Miranda to marry him."
All For The Taking,Turtle Giant,Julian tells Brooke about the video.  Quinn tells Clay someone bought the photo of him and he sees a ghost.
Control,JJ Heller,Skills and Grubs at the bar.  Lauren and Mouth in the car driving home.  Hayley and Quinn talk about the opening and their mom.
Who Who,Midnight Hour,Clay is introduced to Katie.  They have a confrontation. Julian helps Alex.
You're Gonna Break My Heart Someday,The Idyllists,Quinn's gallery opening party.  Quinn's live art studio. Mouth and Lauren look at a photo.
Black Tables,Other Lives,"At the end. Alex's hotel room, Quinn and Clay sitting in a room where he shows her Sara's picture, Julian and Brooke in the bedroom."
August Moon,Dylan in the Movies,Julian shows Alex the video.  Lauren tells Mouth about her talk with Skills. Miranda is being deported. Brooke and Alexander talk about Victoria.
Dance So Good,Wakey!Wakey!,Grubbs recording vocals for his song. Alex returns Julian's watch. Nate works on the puzzle with Jamie. Miranda reacts to the lyrics.
July Flame,Laura Veirs,Brooke visits Mouth. Lauren talks to Skills.
Love's Not Worth It,Lee and Willbee,Quinn and Clay at breakfast.  Millie visits Mouth.
Beat Through,Turtle Giant,"Skills and Jamie have lunch. Brooke tells Julian about being mistaken for Victoria, and that the sex tape is out."
Beat the Devil's Tattoo,Black Rebel Motorcycle Club,"Nate walks into Tric and orders a drink from Grubbs, who is off his game. Clay gets background on Katie.  Katie breaks the glass on Clay's portrait."
Flying Machine,Everly,"Nate, Hayley, and Jamie at breakfast."
My Heart Still Beats for You,Anna Ternheim,"Skills talks to Millie.  Grubbs looking at Miranda, working on lyrics.  Hayley at home; Miranda calls her. Clay meets with Katie's friend. Quinn steps on glass at the gallery. Hayley yells at Jamie."
Not In Love,Olin & The Moon," Opening scenes - Nathan sleeping while Haley is throwing a rose into the lake for her mother.; Quinn and Clay sleeping while Katie watches from outside the house.; Brooke giving Julian a bubble bath at ""Brooke's Spa"". Alex filling Millicent in with details from the night.; Miranda and Grubbs talk about the proposal being illegal.; Alex catches Josh kissing a guy in the hotel elevator."
Sunlight,Turtle Giant,Brooke shows Victoria a drawing.  Alex confronts Josh about what she saw in the elevator.  She tells Julian and his dad.
The Heart Won't Be Denied,Colin Devlin,"End.  Julian comes home to an ""unwrapped party."" Mouth tells Lauren he can't see her. Hayley lights the piano on fire. Quinn is worries about Katie, who has broken into Clay's. Nate puts out the fire."
The Sound of Silence - Electric Version,Simon & Garfunkel,Opening montage.
Angel Flying Too Close to the Ground,Willie Nelson,Clay comes home to Katie pretending to be Sara.
Already Fell,The Music Dept.,Chase tells Alex he and Mia have broken up. Haley on the phone talking about grieving. Haley and Nate at the riverfront.
Brooklyn,Wakey!Wakey!,Grubbs at the piano. Quinn and Jamie release the balloons.  Katie in the police car.
Calls Me Home,Shannon LaBrie,Clay talks Katie off the pier.
In the Moonlight,Susie Suh,Chase and Mia talk. Alex shows off her bartending skills.  Alex and Julian talk about the movie.
On Your Way,The Little Heroes,Brooke reassures Julian while she paints her toes. Miranda tells Grubbs that she has to leave that night. Chase and Alex at Tric.
Optimism,Jarrod Gorbel,Quinn and Jamie read the clue at the river court.  Alex and Julian at Tric.  Mia arrives.  Quinn and Jamie at the fountain.
Quiet Hearts,Amy Stroup,Brooke talks with Nate about Haley's depression.  Clay watches a video of his wedding to Sara.
Yellow Bird,Bess Rogers,Jamie and Quinn bury the treasure. Brooke and Victoria talk at Clothes Over Bros.
Here Before,Lissie,End montage.
Timshel,Mumford & Sons,Beginning. Haley has flashbacks of significant memories between her and Nathan as she sinks to the bottom of the pool.
Light Outside,Wakey!Wakey!,Mia oversees as Grubbs records a song for his album; Snowball fight
Off Track,The Features,"The gang arrives at the cabin in Park City, Utah; Skillz shows Mouth his new coat; The guys play in the snow...Jamie doesn't recognize Chase."
Almost Everything,Wakey!Wakey!,"Julian and Paul settle a movie deal; Alex and Josh are interviewed on the red carpet; Grubbs records another song; The guys jump into the snow off the porch; Haley, Brooke, and Quinn hang out."
